LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'NH66,"TEMPLE, NH 03084","TEMPLE, NH 03084",03084,03084,42-47-23.3090N,154043.3090N,071-50-04.2740W,258604.2740W
'NH71,"HOMOSASSA, FL 34446","WOLFEBORO, NH 03894",34446,03894,43-38-19.2760N,157099.2760N,071-19-23.2530W,256763.2530W
'8B2,"TWIN MOUNTAIN, NH 03595","TWIN MOUNTAIN, NH 03595",03595,03595,44-15-50.6307N,159350.6307N,071-32-48.2953W,257568.2953W
'NH39,"WALPOLE, NH 03608","WALPOLE, NH 03608",03608,03608,43-02-00.2870N,154920.2870N,072-25-47.3160W,260747.3160W
'NH11,"WARREN, NH 03279","WARREN, NH 03279",03279,03279,43-57-39.6000N,158259.6000N,071-53-19.8000W,258799.8000W
'07NH,"BERLIN, MA 01503","BERLIN, MA 01503",01503,01503,43-10-32.0000N,155432.0000N,072-03-50.0000W,259430.0000W
'NH96,"WENTWORTH, NH 03287","WENTWORTH, NH 03282",03287,03282,43-52-24.4000N,157944.4000N,071-54-17.0000W,258857.0000W
'NH79,"WEST EPPING, NH 03042","WEST EPPING, NH 08042",03042,08042,43-02-26.3070N,154946.3070N,071-07-32.2190W,256052.2190W
'NH69,"WEST OSSIPEE, NH 03890","WEST OSSIPEE, NH 03890",03890,03890,43-49-34.5200N,157774.5200N,071-11-05.3800W,256265.3800W
'24NH,"WESTMORELAND, NH 03467","WESTMORELAND, NH 03467-3227",03467,03467-3227,42-56-37.0000N,154597.0000N,072-29-04.0000W,260944.0000W
'2NH5,"WESTMORELAND, NH 03467","WESTMORELAND, NH",03467,#VALUE!,42-59-25.0000N,154765.0000N,072-24-06.0000W,260646.0000W
'HIE,"WHITEFIELD, NH 03598","WHITEFIELD, NH 03598",03598,03598,44-22-03.2000N,159723.2000N,071-32-44.9000W,257564.9000W
'NH80,"WILTON, NH 03086","WILTON, NH 03086",03086,03086,42-49-32.5560N,154172.5560N,071-44-28.1400W,258268.1400W
'35NH,"WINDHAM, NH 03087","WINDHAM, NH 03087",03087,03087,42-48-24.8900N,154104.8900N,071-16-33.0700W,256593.0700W
'23NH,"WINDSOR, NH 03244",,03244,#VALUE!,43-07-49.0000N,155269.0000N,072-00-54.0000W,259254.0000W
'90NH,"WOLFEBORO, NH 03894","WOLFEBORO, NH 03894",03894,03894,43-38-14.0800N,157094.0800N,071-09-11.2800W,256151.2800W
'NH27,"WOLFEBORO, NH 03894","WOLFEBORO, NH 03894",03894,03894,43-34-56.1400N,156896.1400N,071-12-06.2100W,256326.2100W
'NH31,"WOLFEBORO, NH 03894","WOLFEBORO, NH 03896",03894,03896,43-39-00.2790N,157140.2790N,071-08-58.2430W,256138.2430W
'NH10,"WOLFEBORO, NH 03894","WOLFEBORO, NH 03894",03894,03894,43-33-36.8600N,156816.8600N,071-11-41.7700W,256301.7700W
